NCTId,BriefTitle,Condition,LeadSponsorName,OverallStatus,Phase,InterventionType,CompletionDate,InterventionName
NCT03086343,A Phase 3 Study to Compare Upadacitinib to Abatacept in Subjects With Rheumatoid Arthritis on Stable Dose of Conventional Synthetic Disease- Modifying Antirheumatic Drugs (csDMARDs) Who Have an Inadequate Response or Intolerance to Biologic DMARDs,Rheumatoid Arthritis (RA),AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug']","June 1, 2023","['Abatacept', 'Placebo for abatacept', 'Upadacitinib', 'Placebo for upadacitinib']"
NCT02706951,A Study Comparing Upadacitinib (ABT-494) Monotherapy to Methotrexate (MTX) Monotherapy in Adults With Rheumatoid Arthritis (RA) Who Have an Inadequate Response to MTX (SELECT-MONOTHERAPY),Rheumatoid Arthritis,AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug']","July 17, 2022","['Methotrexate', 'Upadacitinib', 'Placebo Upadacitinib', 'Placebo Methotrexate']"
NCT02706873,A Study to Compare Upadacitinib (ABT-494) Monotherapy to Methotrexate (MTX) Monotherapy in Adults With Rheumatoid Arthritis (RA) Who Have Not Previously Taken Methotrexate,Rheumatoid Arthritis,AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug']","October 22, 2022","['Placebo to Upadacitinib', 'Methotrexate', 'Placebo to Methotrexate', 'Upadacitinib']"
NCT02629159,A Study Comparing Upadacitinib (ABT-494) to Placebo and to Adalimumab in Adults With Rheumatoid Arthritis Who Are on a Stable Dose of Methotrexate and Who Have an Inadequate Response to Methotrexate,Rheumatoid Arthritis,AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug']","May 20, 2022","['Placebo for Adalimumab', 'Adalimumab', 'Placebo for Upadacitinib', 'Upadacitinib']"
NCT02163694,"A Phase 3 Randomized, Placebo-controlled Trial of Carboplatin and Paclitaxel With or Without Veliparib (ABT-888) in HER2-negative Metastatic or Locally Advanced Unresectable BRCA-associated Breast Cancer",Metastatic Breast Cancer,AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug']","August 5, 2022","['Veliparib Placebo', 'Veliparib', 'Carboplatin', 'Paclitaxel']"
NCT02470585,"Veliparib With Carboplatin and Paclitaxel and as Continuation Maintenance Therapy in Adults With Newly Diagnosed Stage III or IV, High-grade Serous, Epithelial Ovarian, Fallopian Tube, or Primary Peritoneal Cancer","['Ovarian Cancer', 'Ovarian Neoplasm']",AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Other']","December 8, 2026","['Veliparib', 'Paclitaxel', 'Carboplatin', 'Placebo to Veliparib']"
NCT02549092,A Study to Examine the Effect of Levodopa-Carbidopa Intestinal Gel (LCIG) Therapy Relative to That of Optimized Medical Treatment (OMT) on Non-motor Symptoms (NMS) Associated With Advanced Parkinson's Disease (PD),Advanced Parkinson's Disease,AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Device', 'Device']","December 31, 2022","['Optimized Medical Treatment', 'Levodopa-Carbidopa Intestinal Gel', 'Nasojejunal (NJ) tube', 'Percutaneous endoscopic gastrostomy with a jejunal (PEG-J) tube']"
NCT02507687,Comparison of Bimatoprost SR to Selective Laser Trabeculoplasty in Patients With Open-Angle Glaucoma or Ocular Hypertension,"['Glaucoma, Open-Angle', 'Ocular Hypertension']",AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Procedure', 'Procedure']","May 24, 2023","['Bimatoprost SR', 'Sham Bimatoprost SR', 'Selective Laser Trabeculoplasty', 'Sham Selective Laser Trabeculoplasty']"
NCT03271489,Long-Term Safety Study of Elagolix in Combination With Estradiol/Norethindrone Acetate for the Management of Heavy Menstrual Bleeding Associated With Uterine Fibroids in Premenopausal Women,"['Heavy Menstrual Bleeding', 'Uterine Fibroids']",AbbVie,"Active, not recruiting",Phase 3,"['Other', 'Drug', 'Other', 'Drug']","January 24, 2025","['Elagolix Placebo', 'E2/NETA', 'E2/NETA Placebo', 'Elagolix']"
NCT03105102,A Study of the Efficacy and Safety of Risankizumab in Participants With Crohn's Disease,Crohn's Disease,AbbVie,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug', 'Drug']","June 9, 2026","['Placebo for Risankizumab SC', 'Risankizumab IV', 'Placebo for Risankizumab IV', 'Risankizumab SC', 'Risankizumab On-Body Injector (OBI)']"
NCT05073315,A Comparative Study Between ABP 501 and Humira® in Participants With Moderate to Severe Plaque Psoriasis,Plaque Psoriasis,Amgen,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","January 10, 2023","['Adalimumab', 'ABP 501']"
NCT04761627,A Study to Investigate Interchangeability of ABP 654 for the Treatment of Participants With Moderate to Severe Plaque Psoriasis,Psoriasis,Amgen,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","March 20, 2023","['Ustekinumab', 'ABP 654']"
NCT04607980,A Study to Investigate ABP 654 for the Treatment of Participants With Moderate to Severe Plaque Psoriasis,Plaque Psoriasis,Amgen,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","June 6, 2022","['ABP 654', 'Ustekinumab']"
NCT04303780,"Study to Compare AMG 510 ""Proposed INN Sotorasib"" With Docetaxel in Non Small Cell Lung Cancer (NSCLC) (CodeBreak 200).","KRAS p, G12c Mutated /Advanced Metastatic NSCLC",Amgen,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","April 27, 2026","['AMG 510', 'Docetaxel']"
NCT04270747,A Study to Understand Effectiveness and Safety of ABP 938 Compared to Aflibercept (Eylea®) in Patients Suffering With Neovascular Age-related Macular Degeneration [Neovascular (Wet) AMD],Neovascular (Wet) Age-related Macular Degeneration (AMD),Amgen,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","January 30, 2023","['ABP 938', 'Aflibercept']"
NCT03872401,Effect of Evolocumab in Patients at High Cardiovascular Risk Without Prior Myocardial Infarction or Stroke,Coronary Heart Disease (CHD),Amgen,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","May 26, 2025","['Evolocumab', 'Placebo']"
NCT03818607,A Study Evaluating the Efficacy and Safety of ABP 959 Compared With Eculizumab in Adult Participants With PNH,Paroxysmal Nocturnal Hemoglobinuria,Amgen,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","July 13, 2022","['ABP 959', 'Eculizumab']"
NCT03701763,Efficacy and Safety Study of Apremilast (CC-10004) in Pediatric Subjects From 6 Through 17 Years of Age With Moderate to Severe Plaque Psoriasis,Psoriasis,Amgen,"Active, not recruiting",Phase 3,"['Drug', 'Other']","April 10, 2023","['Apremilast (CC-10004)', 'Placebo']"
NCT03164928,Safety and Efficiency of Denosumab in Pediatric Subjects With Glucocorticoid-induced Osteoporosis,"['Evaluate the Safety and Efficacy of Denosumab in Pediatric Subjects With', 'Glucocorticoid-induced Osteoporosis']",Amgen,"Active, not recruiting",Phase 3,"['Drug', 'Other']","December 13, 2023","['Denosumab', 'Placebo']"
NCT03859427,A Study Comparing Once-weekly vs Twice-weekly Carfilzomib in Combination With Lenalidomide and Dexamethasone in Subjects With Relapsed or Refractory Multiple Myeloma,Relapsed or Refractory Multiple Myeloma,Amgen,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug']","February 28, 2023","['Carfilzomib', 'Carfilzomib', 'Lenalidomide', 'Dexamethasone']"
NCT00556374,Study to Determine Treatment Effects of Denosumab in Patients With Breast Cancer Receiving Aromatase Inhibitor Therapy,Breast Cancer,Amgen,"Active, not recruiting",Phase 3,"['Drug', 'Biological', 'Drug', 'Drug', 'Other']","July 26, 2022","['Placebo', 'Denosumab', 'Non-steroidal aromatase inhibitor therapy', 'Zoledronic Acid', 'Standard of Care']"
NCT02393859,Phase 3 Trial of Blinatumomab vs Standard Chemotherapy in Pediatric Subjects With HIgh-Risk (HR) First Relapse B-precursor Acute Lymphoblastic Leukemia (ALL),"Leukemia, Acute Lymphoblastic",Amgen,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug', 'Drug', 'Drug', 'Drug', 'Drug']","November 14, 2022","['Blinatumomab', 'Dexamethasone', 'Vincrisitne', 'Daunorubicin', 'Methotrexate', 'Ifosfamide', 'PEG-asparaginase', 'Erwinia-asparaginase']"
NCT02283853,Phase 3 Efficacy and Safety Study of BG00012 in Pediatric Subjects With Relapsing-remitting Multiple Sclerosis (RRMS),Relapsing-Remitting Multiple Sclerosis,Biogen,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","September 8, 2025","['dimethyl fumarate', 'Interferon β-1a']"
NCT04241068,"A Study to Evaluate Safety and Tolerability of Aducanumab in Participants With Alzheimer's Disease Who Had Previously Participated in the Aducanumab Studies 221AD103, 221AD301, 221AD302 and 221AD205",Alzheimer's Disease,Biogen,"Active, not recruiting",Phase 3,Drug,"February 24, 2025",Aducanumab
NCT03689972,"A Study to Evaluate Efficacy, Safety, and Tolerability of EID of Natalizumab (BG00002) in Participants With RRMS Switching From Treatment With Natalizumab SID in Relation to Continued SID Treatment- Followed by Extension Study Comprising SC and IV Natalizumab Administration","Multiple Sclerosis, Relapsing-Remitting",Biogen,"Active, not recruiting",Phase 3,Drug,"February 15, 2023",Natalizumab
NCT03070119,Long-Term Evaluation of BIIB067,ALS Caused by Superoxide Dismutase 1 (SOD1) Mutation,Biogen,"Active, not recruiting",Phase 3,Drug,"June 13, 2024",BIIB067
NCT02594124,A Study for Participants With Spinal Muscular Atrophy (SMA) Who Previously Participated in Nusinersen (ISIS 396443) Investigational Studies,Spinal Muscular Atrophy,Biogen,"Active, not recruiting",Phase 3,Drug,"August 29, 2023",nusinersen
NCT03870763,Study to Evaluate the Efficacy and Safety of Dimethyl Fumarate (Tecfidera) and Peginterferon Beta-1a (Plegridy) for the Treatment of Relapsing-Remitting Multiple Sclerosis in Pediatric Participants,"Multiple Sclerosis, Relapsing-Remitting",Biogen,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug']","July 15, 2022","['Dimethyl Fumarate', 'Peginterferon Beta-1a', 'Placebo']"
NCT03064126,RANGER™ Paclitaxel Coated Balloon vs Standard Balloon Angioplasty,"['Peripheral Artery Disease', 'Atherosclerosis', 'Artery Diseases, Peripheral', 'Plaque, Atherosclerotic', 'Occlusive Arterial Disease']",Boston Scientific Corporation,"Active, not recruiting",Phase 3,"['Device', 'Drug', 'Procedure']",September 2023,"['RANGER™ Paclitaxel Coated Balloon', 'Paclitaxel', 'Standard Balloon Angioplasty']"
NCT02971683,Trial to Evaluate the Efficacy and Safety of Abatacept in Combination With Standard Therapy Compared to Standard Therapy Alone in Improving Disease Activity in Adults With Active Idiopathic Inflammatory Myopathy,"['Polymyositis', 'Dermatomyositis', 'Autoimmune Necrotizing Myopathy', 'Overlap Myositis', 'Juvenile Myositis Above the Age of 18']",Bristol-Myers Squibb,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","July 13, 2022","['Abatacept subcutaneous', 'Placebo']"
NCT02613507,Efficacy Study of Nivolumab Compared to Docetaxel in Subjects Previously Treated With Advanced or Metastatic Non Small Cell Lung Cancer,Non-Small Cell Lung Cancer,Bristol-Myers Squibb,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","February 1, 2023","['Nivolumab', 'Docetaxel']"
NCT02576509,An Investigational Immuno-therapy Study of Nivolumab Compared to Sorafenib as a First Treatment in Patients With Advanced Hepatocellular Carcinoma,Hepatocellular Carcinoma,Bristol-Myers Squibb,"Active, not recruiting",Phase 3,"['Drug', 'Drug']","June 30, 2022","['Nivolumab', 'Sorafenib']"
NCT04036435,Long-Term Study That Measures the Safety and Efficacy of Deucravacitinib (BMS-986165) in Participants With Psoriasis,Psoriasis,Bristol-Myers Squibb,"Active, not recruiting",Phase 3,Drug,"July 26, 2026",BMS-986165
NCT02481830,Effectiveness Study of Nivolumab Compared to Chemotherapy in Patients With Relapsed Small-cell Lung Cancer,Lung Cancer,Bristol-Myers Squibb,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug']","May 30, 2022","['Nivolumab', 'Topotecan', 'Amrubicin']"
NCT04340193,A Study of Nivolumab and Ipilimumab and Nivolumab Alone in Combination With Trans-arterial ChemoEmbolization (TACE) in Participants With Intermediate Stage Liver Cancer,"Cancer, Hepatocellular",Bristol-Myers Squibb,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Procedure']","January 29, 2024","['nivolumab', 'ipilimumab', 'TACE']"
NCT02743494,An Investigational Immuno-therapy Study of Nivolumab or Placebo in Participants With Resected Esophageal or Gastroesophageal Junction Cancer,Advanced Cancer,Bristol-Myers Squibb,"Active, not recruiting",Phase 3,"['Drug', 'Other']","October 11, 2025","['Nivolumab', 'Placebo']"
NCT02667587,"An Investigational Immuno-therapy Study of Temozolomide Plus Radiation Therapy With Nivolumab or Placebo, for Newly Diagnosed Patients With Glioblastoma (GBM, a Malignant Brain Cancer)",Brain Neoplasms,Bristol-Myers Squibb,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Radiation', 'Other']","August 1, 2023","['Nivolumab', 'Temozolomide', 'Radiotherapy', 'Nivolumab Placebo']"
NCT02388906,Efficacy Study of Nivolumab Compared to Ipilimumab in Prevention of Recurrence of Melanoma After Complete Resection of Stage IIIb/c or Stage IV Melanoma,Melanoma,Bristol-Myers Squibb,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Other', 'Other']","December 12, 2025","['Ipilimumab', 'Nivolumab', 'Placebo matching Ipilimumab', 'Placebo matching Nivolumab']"
NCT04149574,A Study Comparing the Efficacy and Safety of Nivolumab in Combination With Bacillus Calmette-Guerin (BCG) Versus BCG Alone in Participants With High-Risk Non-Muscle Invasive Bladder Cancer (HR NMIBC),Urinary Bladder Neoplasms,Bristol-Myers Squibb,"Active, not recruiting",Phase 3,"['Drug', 'Other', 'Biological']","November 4, 2024","['nivolumab', 'Placebo', 'Bacillus Calmette-Guérin (BCG)']"
NCT03141177,A Study of Nivolumab Combined With Cabozantinib Compared to Sunitinib in Previously Untreated Advanced or Metastatic Renal Cell Carcinoma,Renal Cell Carcinoma,Bristol-Myers Squibb,"Active, not recruiting",Phase 3,"['Biological', 'Drug', 'Drug', 'Biological']","April 17, 2024","['Nivolumab', 'Cabozantinib', 'Sunitinib', 'Ipilimumab']"
NCT03143153,A Study to Evaluate Efficacy in Subjects With Esophageal Cancer Treated With Nivolumab and Ipilimumab or Nivolumab Combined With Fluorouracil Plus Cisplatin Versus Fluorouracil Plus Cisplatin,Various Advanced Cancer,Bristol-Myers Squibb,"Active, not recruiting",Phase 3,"['Biological', 'Biological', 'Drug', 'Drug']","August 16, 2024","['Nivolumab', 'Ipilimumab', 'Cisplatin', 'Fluorouracil']"
NCT03138512,"A Study Comparing Nivolumab, Nivolumab in Combination With Ipilimumab and Placebo in Participants With Localized Kidney Cancer Who Underwent Surgery to Remove Part of a Kidney","Carcinoma, Renal Cell",Bristol-Myers Squibb,"Active, not recruiting",Phase 3,"['Biological', 'Biological', 'Drug', 'Drug']","August 23, 2032","['nivolumab', 'ipilimumab', 'nivolumab placebo', 'ipilimumab placebo']"
NCT02231749,Nivolumab Combined With Ipilimumab Versus Sunitinib in Previously Untreated Advanced or Metastatic Renal Cell Carcinoma (CheckMate 214),"['Advanced Renal Cell Carcinoma', 'Metastatic Renal Cell Carcinoma']",Bristol-Myers Squibb,"Active, not recruiting",Phase 3,"['Biological', 'Biological', 'Drug']","January 10, 2023","['Nivolumab', 'Ipilimumab', 'Sunitinib']"
NCT02899299,Study of Nivolumab Combined With Ipilimumab Versus Pemetrexed and Cisplatin or Carboplatin as First Line Therapy in Unresectable Pleural Mesothelioma Patients,Mesothelioma,Bristol-Myers Squibb,"Active, not recruiting",Phase 3,"['Biological', 'Biological', 'Drug', 'Drug', 'Drug']","April 28, 2023","['Nivolumab', 'Ipilimumab', 'Pemetrexed', 'Cisplatin', 'Carboplatin']"
NCT02864251,A Study of Nivolumab + Chemotherapy or Nivolumab + Ipilimumab Versus Chemotherapy in Non-Small Cell Lung Cancer (NSCLC) Participants With Epidermal Growth Factor Receptor (EGFR) Mutation Who Failed 1L or 2L EGFR Tyrosine Kinase Inhibitor (TKI) Therapy,Non-Small-Cell Lung Carcinoma,Bristol-Myers Squibb,"Active, not recruiting",Phase 3,"['Biological', 'Biological', 'Drug', 'Drug', 'Drug']","July 15, 2022","['Nivolumab', 'Ipilimumab', 'Pemetrexed', 'Cisplatin', 'Carboplatin']"
NCT02872116,Efficacy Study of Nivolumab Plus Ipilimumab or Nivolumab Plus Chemotherapy Against Chemotherapy in Stomach Cancer or Stomach/Esophagus Junction Cancer,"['Gastric Cancer', 'Gastroesophageal Junction Cancer']",Bristol-Myers Squibb,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug', 'Drug', 'Drug']","October 6, 2022","['Nivolumab', 'Ipilimumab', 'Oxaliplatin', 'Capecitabine', 'Leucovorin', 'Fluorouracil']"
NCT02041533,"An Open-Label, Randomized, Phase 3 Trial of Nivolumab Versus Investigator's Choice Chemotherapy as First-Line Therapy for Stage IV or Recurrent PD-L1+ Non-Small Cell Lung Cancer (CheckMate 026)",Stage IV or Recurrent Non-Small Cell Lung Cancer,Bristol-Myers Squibb,"Active, not recruiting",Phase 3,"['Biological', 'Drug', 'Drug', 'Drug', 'Drug', 'Drug']","May 20, 2022","['Nivolumab', 'Gemcitabine', 'Cisplatin', 'Carboplatin', 'Paclitaxel', 'Pemetrexed']"
NCT03215706,A Study of Nivolumab and Ipilimumab Combined With Chemotherapy Compared to Chemotherapy Alone in First Line NSCLC,Non-Small Cell Lung Cancer,Bristol-Myers Squibb,"Active, not recruiting",Phase 3,"['Biological', 'Biological', 'Drug', 'Drug', 'Drug', 'Drug']","January 19, 2023","['Ipilimumab', 'Nivolumab', 'Carboplatin', 'Paclitaxel', 'Pemetrexed', 'Cisplatin']"
NCT02741570,Study of Nivolumab in Combination With Ipilimumab Compared to the Standard of Care (Extreme Regimen) as First Line Treatment in Patients With Recurrent or Metastatic Squamous Cell Carcinoma of the Head and Neck,Head and Neck Cancer,Bristol-Myers Squibb,"Active, not recruiting",Phase 3,"['Biological', 'Biological', 'Drug', 'Drug', 'Drug', 'Drug']","June 2, 2022","['Nivolumab', 'Ipilimumab', 'Cetuximab/Erbitux', 'Cisplatin/Platinol', 'Carboplatin/Paraplatin', 'Fluorouracil/Adrucil']"
NCT02477826,"An Investigational Immuno-therapy Trial of Nivolumab, or Nivolumab Plus Ipilimumab, or Nivolumab Plus Platinum-doublet Chemotherapy, Compared to Platinum Doublet Chemotherapy in Patients With Stage IV Non-Small Cell Lung Cancer (NSCLC)",Non-Small Cell Lung Cancer,Bristol-Myers Squibb,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug', 'Drug', 'Drug', 'Drug']","August 30, 2024","['Nivolumab', 'Ipilimumab', 'Carboplatin', 'Cisplatin', 'Gemcitabine', 'Pemetrexed', 'Paclitaxel']"
NCT02998528,A Neoadjuvant Study of Nivolumab Plus Ipilimumab or Nivolumab Plus Chemotherapy Versus Chemotherapy Alone in Early Stage Non-Small Cell Lung Cancer (NSCLC),Non Small Cell Lung Cancer,Bristol-Myers Squibb,"Active, not recruiting",Phase 3,"['Biological', 'Drug', 'Drug', 'Drug', 'Drug', 'Drug', 'Drug', 'Drug', 'Biological']","November 8, 2028","['Nivolumab', 'Cisplatin', 'Vinorelbine', 'Gemcitabine', 'Docetaxel', 'Pemetrexed', 'Carboplatin', 'Paclitaxel', 'Ipilimumab']"
NCT04109066,"Study of Nivolumab Versus Placebo in Combination With Neoadjuvant Chemotherapy and Adjuvant Endocrine Therapy in Participants With High-risk, Estrogen Receptor-Positive (ER+), Human Epidermal Growth Factor Receptor 2-Negative (HER2-) Primary Breast Cancer",Breast Cancer,Bristol-Myers Squibb,"Active, not recruiting",Phase 3,"['Biological', 'Drug', 'Other', 'Drug', 'Drug', 'Drug', 'Procedure']","June 20, 2032","['nivolumab', 'paclitaxel (PTX)', 'nivolumab placebo', 'anthracycline', 'cyclophosphamide', 'Endocrine Therapy', 'Surgery']"
NCT03890120,"Safety, Tolerability, and Efficacy of Cilofexor in Non-Cirrhotic Adults With Primary Sclerosing Cholangitis",Primary Sclerosing Cholangitis,Gilead Sciences,"Active, not recruiting",Phase 3,"['Drug', 'Drug']",August 2025,"['Cilofexor', 'Placebo']"
