NCTId,BriefTitle,Condition,LeadSponsorName,OverallStatus,Phase,InterventionType,CompletionDate,InterventionName
NCT05076149,"A Study of VX-121 Combination Therapy in Participants With Cystic Fibrosis (CF) Who Are Homozygous for F508del, Heterozygous for F508del and a Gating (F/G) or Residual Function (F/RF) Mutation, or Have At Least 1 Other Triple Combination Responsive (TCR) CFTR Mutation and No F508del Mutation",Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Recruiting,Phase 3,"['Drug', 'Drug', 'Drug', 'Drug', 'Drug', 'Drug']",February 2024,"['VX-121/TEZ/D-IVA', 'ELX/TEZ/IVA', 'IVA', 'Placebo (matched to VX-121/TEZ/D-IVA)', 'Placebo (matched to ELX/TEZ/IVA)', 'Placebo (matched to IVA)']"
NCT05033080,A Phase 3 Study of VX-121 Combination Therapy in Participants With Cystic Fibrosis (CF) Heterozygous for F508del and a Minimal Function Mutation (F/MF),Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Recruiting,Phase 3,"['Drug', 'Drug', 'Drug', 'Drug', 'Drug', 'Drug']",January 2024,"['VX-121/TEZ/D-IVA', 'ELX/TEZ/IVA', 'IVA', 'Placebo (matched to VX-121/TEZ/D-IVA)', 'Placebo (matched to ELX/TEZ/IVA)', 'Placebo (matched to IVA)']"
NCT04969224,A Study to Evaluate ELX/TEZ/IVA on Cough and Physical Activity in Subjects With Cystic Fibrosis (CF),Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,"Active, not recruiting",Phase 3,"['Drug', 'Drug']",September 2022,"['ELX/TEZ/IVA', 'IVA']"
NCT04599465,A Study to Assess the Effect of ELX/TEZ/IVA on Glucose Tolerance in Participants With Cystic Fibrosis (CF),Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,"Active, not recruiting",Phase 3,"['Drug', 'Drug']",June 2022,"['ELX/TEZ/IVA', 'IVA']"
NCT04545515,A Study Evaluating the Long-term Safety and Efficacy of Elexacaftor/Tezacaftor/Ivacaftor in Cystic Fibrosis (CF) Subjects 6 Years and Older and F/MF Genotypes,Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,"Active, not recruiting",Phase 3,"['Drug', 'Drug']",April 2023,"['ELX/TEZ/IVA', 'IVA']"
NCT04537793,Evaluation of ELX/TEZ/IVA in Cystic Fibrosis (CF) Subjects 2 Through 5 Years,Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,"Active, not recruiting",Phase 3,"['Drug', 'Drug']",June 2022,"['ELX/TEZ/IVA', 'IVA']"
NCT04362761,A Study Evaluating the Long-Term Safety of Elexacaftor Combination Therapy,Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,"Active, not recruiting",Phase 3,"['Drug', 'Drug']",June 2022,"['ELX/TEZ/IVA', 'IVA']"
NCT04353817,A Study Evaluating Efficacy and Safety of Elexacaftor/Tezacaftor/Ivacaftor in Subjects 6 Through 11 Years of Age With Cystic Fibrosis and F/MF Genotypes,Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug', 'Other', 'Other']","May 17, 2021","['ELX/TEZ/IVA', 'IVA', 'Placebo', 'Placebo']"
NCT04235140,Long-term Safety of Lumacaftor/Ivacaftor in Subjects With Cystic Fibrosis Who Are Homozygous for F508del and 12 to <24 Months of Age at Treatment Initiation,Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,"Active, not recruiting",Phase 3,Drug,February 2024,LUM/IVA
NCT04183790,Evaluation of Long-term Safety and Efficacy of VX-445 Combination Therapy in Subjects With Cystic Fibrosis Who Are 6 Years of Age and Older,Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,"Active, not recruiting",Phase 3,"['Drug', 'Drug']",April 2024,"['ELX/TEZ/IVA', 'IVA']"
NCT04105972,"A Study Evaluating the Efficacy and Safety of VX-445/Tezacaftor/Ivacaftor in Cystic Fibrosis Subjects, Homozygous for F508del",Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug', 'Drug']","July 24, 2020","['ELX/TEZ/IVA', 'TEZ/IVA', 'IVA']"
NCT04058366,Study Evaluating the Long-term Safety and Efficacy of VX-445 Combination Therapy,Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,"Active, not recruiting",Phase 3,"['Drug', 'Drug']",August 2022,"['ELX/TEZ/IVA', 'IVA']"
NCT04058353,A Phase 3 Study of VX-445 Combination Therapy in Cystic Fibrosis (CF) Subjects Heterozygous for F508del and a Gating or Residual Function Mutation (F/G and F/RF Genotypes),Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug', 'Drug']","June 12, 2020","['ELX/TEZ/IVA', 'IVA', 'TEZ/IVA']"
NCT04043806,A Study Evaluating the Long-term Safety of VX-445 Combination Therapy,Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,"Active, not recruiting",Phase 3,"['Drug', 'Drug']",May 2022,"['ELX/TEZ/IVA', 'IVA']"
NCT03691779,Evaluation of VX 445/TEZ/IVA in Cystic Fibrosis Subjects 6 Through 11 Years of Age,Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug']","August 7, 2020","['ELX/TEZ/IVA', 'IVA']"
NCT03601637,"Safety and Pharmacokinetic Study of Lumacaftor/Ivacaftor in Subjects 1 to Less Than 2 Years of Age With Cystic Fibrosis, Homozygous for F508del",Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug']","October 29, 2021","['LUM', 'IVA']"
NCT03559062,A Study to Evaluate Efficacy and Safety of TEZ/IVA in Subjects Aged 6 Through 11 Years With Cystic Fibrosis,Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug', 'Drug', 'Drug']","December 21, 2018","['TEZ/IVA', 'IVA', 'Placebo', 'Placebo']"
NCT03537651,A Study to Evaluate the Safety and Efficacy of Long-term Treatment With TEZ/IVA in CF Subjects With an F508del CFTR Mutation,Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,"Active, not recruiting",Phase 3,"['Drug', 'Drug']",September 2022,"['TEZ/IVA', 'IVA']"
NCT03525574,A Study Evaluating the Long-term Safety and Efficacy of VX-445 Combination Therapy,Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,"Active, not recruiting",Phase 3,"['Drug', 'Drug', 'Drug', 'Drug']",January 2023,"['VX-445', 'TEZ', 'IVA', 'IVA']"
NCT03525548,A Study of VX-445 Combination Therapy in CF Subjects Homozygous for F508del (F/F),Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug', 'Drug', 'Drug', 'Drug']","December 28, 2018","['VX-445/TEZ/IVA', 'TEZ/IVA', 'IVA', 'Placebo', 'Placebo']"
NCT03525444,A Phase 3 Study of VX-445 Combination Therapy in Subjects With Cystic Fibrosis Heterozygous for the F508del Mutation and a Minimal Function Mutation (F/MF),Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug', 'Drug']","April 24, 2019","['VX-445/TEZ/IVA', 'IVA', 'Placebo']"
NCT03460990,A Study of VX-659 Combination Therapy in CF Subjects Homozygous for F508del (F/F),Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug', 'Drug', 'Drug', 'Drug']","October 8, 2018","['VX-659/TEZ/IVA', 'TEZ/IVA', 'IVA', 'Placebo', 'Placebo']"
NCT03447249,A Phase 3 Study of VX-659 Combination Therapy in Subjects With Cystic Fibrosis Heterozygous for the F508del Mutation and a Minimal Function Mutation (F/MF),Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug', 'Drug']","February 5, 2019","['VX-659/TEZ/IVA', 'IVA', 'Placebo']"
NCT03277196,A Study to Evaluate the Safety of Long-term Ivacaftor Treatment in Subjects With Cystic Fibrosis Who Are Less Than 24 Months of Age at Treatment Initiation and Have an Approved Ivacaftor-Responsive Mutation,Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Enrolling by invitation,Phase 3,Drug,"July 3, 2024",Ivacaftor
NCT03150719,"A Study to Evaluate Safety, Efficacy, and Tolerability of TEZ/IVA in Orkambi® (Lumacaftor/Ivacaftor) -Experienced Subjects With Cystic Fibrosis (CF)",Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug', 'Drug', 'Drug']","August 9, 2018","['Tezacaftor/Ivacaftor', 'Ivacaftor', 'Placebo', 'Placebo']"
NCT03125395,"A Rollover Safety Study of Lumacaftor/Ivacaftor in Subjects Aged 2 Years and Older With Cystic Fibrosis, Homozygous for the F508del-CFTR Mutation",Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,Drug,"July 17, 2019",LUM/IVA
NCT03068312,A Study to Evaluate Efficacy of Ivacaftor in Subjects With Cystic Fibrosis Who Have a 3849 + 10KB C→T or D1152H CFTR Mutation,Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug']","December 18, 2018","['Ivacaftor', 'Placebo']"
NCT02953314,"A Study to Evaluate the Pharmacokinetics, Safety, and Tolerability of VX-661/Ivacaftor in Pediatric Subjects With Cystic Fibrosis (CF)",Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug', 'Drug']",September 2018,"['TEZ', 'TEZ/IVA', 'IVA']"
NCT02875366,"A Study of the Effects of Lumacaftor/Ivacaftor (LUM/IVA) on Exercise Tolerance in Subjects With Cystic Fibrosis (CF), Homozygous for the F508del-CFTR Mutation",Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 4,"['Drug', 'Drug']",October 2017,"['LUM/IVA', 'Placebo']"
NCT02797132,"Safety and Pharmacokinetic Study of Lumacaftor/Ivacaftor in Subjects Aged 2 Through 5 Years With Cystic Fibrosis, Homozygous for F508del",Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,Drug,September 2017,LUM/IVA
NCT02725567,"A Study to Evaluate the Safety, Pharmacokinetics, and Pharmacodynamics of Ivacaftor in Subjects With Cystic Fibrosis Who Are Less Than 24 Months of Age and Have an Ivacaftor-Responsive CFTR Mutation",Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,"Active, not recruiting",Phase 3,Drug,July 2022,ivacaftor
NCT02565914,A Study to Evaluate the Safety and Efficacy of Long Term Treatment With VX-661 in Combination With Ivacaftor in Subjects With Cystic Fibrosis Who Have an F508del-CFTR Mutation,Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,"Active, not recruiting",Phase 3,"['Drug', 'Drug']",March 2023,"['TEZ/IVA', 'IVA']"
NCT02544451,Rollover Study to Evaluate the Safety and Efficacy of Long-term Treatment With Lumacaftor in Combination With Ivacaftor,Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug']",April 2020,"['LUM/IVA', 'LUM/IVA']"
NCT02516410,"A Study to Evaluate the Efficacy and Safety of VX-661 in Combination With Ivacaftor in Subjects Aged 12 Years and Older With Cystic Fibrosis, Heterozygous for the F508del-CFTR Mutation",Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug', 'Drug', 'Drug']","June 7, 2016","['VX-661 plus ivacaftor combination', 'Ivacaftor', 'Placebo (matched to VX-661 plus ivacaftor combination)', 'Placebo (matched to ivacaftor)']"
NCT02514473,"A Study to Evaluate the Efficacy and Safety of Lumacaftor in Combination With Ivacaftor in Subjects With CF, Homozygous for the F508del-CFTR Mutation",Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug', 'Drug']",September 2016,"['VX-809', 'Placebo', 'VX-770']"
NCT02412111,"A Phase 3 Study of Tezacaftor (VX-661) in Combination With Ivacaftor (VX-770) in Subjects Aged 12 Years and Older With Cystic Fibrosis (CF), Who Have One F508del-CFTR Mutation and a Second Mutation That Has Been Demonstrated to be Clinically Responsive to Ivacaftor",Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug']",September 2017,"['Ivacaftor', 'Tezacaftor/Ivacaftor']"
NCT02392234,"A Phase 3 Study to Evaluate the Efficacy and Safety of Ivacaftor and VX-661 in Combination With Ivacaftor in Subjects Aged 12 Years and Older With Cystic Fibrosis, Heterozygous for the F508del-cystic Fibrosis Transmembrane Conductance Regulator (CFTR) Mutation",Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug', 'Drug', 'Drug']",February 2017,"['VX-661/Ivacaftor', 'Ivacaftor', 'Placebo matched to VX-661/ ivacaftor', 'Placebo matched to Ivacaftor']"
NCT02347657,"A Randomized, Double-Blind, Placebo-Controlled, Parallel-Group Study to Evaluate the Efficacy and Safety of VX-661 in Combination With Ivacaftor",Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug', 'Drug', 'Drug']","January 20, 2017","['VX-661 Plus Ivacaftor Combination', 'Ivacaftor', 'VX-661 Plus Ivacaftor Combination Placebo', 'Ivacaftor placebo']"
NCT01946412,Roll-Over Study of Ivacaftor in Cystic Fibrosis Pediatric Subjects With a CF Transmembrane Conductance Regulator Gene (CFTR) Gating Mutation,Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,Drug,December 2015,Ivacaftor
NCT01897233,"Study of Lumacaftor in Combination With Ivacaftor in Subjects 6 Through 11 Years of Age With Cystic Fibrosis, Homozygous for the F508del-CFTR Mutation",Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug']",October 2015,"['Lumacaftor', 'Ivacaftor']"
NCT01707290,Rollover Study of Ivacaftor in Subjects With Cystic Fibrosis and a Non G551D CFTR Mutation,Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,Drug,April 2016,Ivacaftor
NCT01705145,Study of Ivacaftor in Cystic Fibrosis Subjects 2 Through 5 Years of Age With a CFTR Gating Mutation,Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,Drug,March 2014,Ivacaftor
NCT01614470,Study of Ivacaftor in Subjects With Cystic Fibrosis (CF) Who Have a Non-G551D CF Transmembrane Conductance Regulator (CFTR) Gating Mutation,Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug']",October 2013,"['Ivacaftor', 'Placebo']"
NCT01614457,Study of Ivacaftor in Subjects With Cystic Fibrosis (CF) Who Have the R117H-CF Transmembrane Conductance Regulator (CFTR) Mutation (KONDUCT),Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug']",October 2013,"['Ivacaftor', 'Placebo']"
NCT01117012,Rollover Study of VX-770 in Cystic Fibrosis Subjects,Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,Drug,May 2014,Ivacaftor
NCT00909727,Study of Ivacaftor in Cystic Fibrosis Subjects Aged 6 to 11 Years With the G551D Mutation,Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug']",April 2011,"['Ivacaftor', 'Placebo']"
NCT00909532,Study of Ivacaftor in Cystic Fibrosis Subjects Aged 12 Years and Older With the G551D Mutation,Cystic Fibrosis,Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug']",November 2012,"['Ivacaftor', 'Placebo']"
NCT01807949,A Study of Lumacaftor in Combination With Ivacaftor in Cystic Fibrosis Subjects Aged 12 Years and Older Who Are Homozygous for the F508del-CFTR Mutation,"Cystic Fibrosis, Homozygous for the F508del CFTR Mutation",Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug', 'Drug']",April 2014,"['Placebo', 'Lumacaftor Plus Ivacaftor Combination', 'Ivacaftor']"
NCT01807923,A Study of Lumacaftor in Combination With Ivacaftor in Cystic Fibrosis Subjects Aged 12 Years and Older Who Are Homozygous for the F508del-CFTR Mutation,"Cystic Fibrosis, Homozygous for the F508del CFTR Mutation",Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug', 'Drug']",April 2014,"['Lumacaftor Plus Ivacaftor Combination', 'Ivacaftor', 'Placebo']"
NCT01931839,A Phase 3 Rollover Study of Lumacaftor in Combination With Ivacaftor in Subjects 12 Years and Older With Cystic Fibrosis,"Cystic Fibrosis, Homozygous or Heterozygous for the F508del-CFTR Mutation",Vertex Pharmaceuticals Incorporated,Completed,Phase 3,"['Drug', 'Drug']",April 2016,"['Lumacaftor Plus Ivacaftor Combination', 'Ivacaftor']"
